kommun,tmean,tmax,tmin,humidity
114,51.72222222,66.55489418,38.00529101,85.27619048
115,50.44047619,65.08333333,35.83333333,85.06904762
117,51.5109127,66.08353175,38.36924603,85.05666667
120,52.71428571,67.14285714,40.21428571,85
123,53.28571429,68.14285714,41.14285714,85.28571429
125,52.42857143,66.28571429,39.28571429,82.85714286
126,49.38839286,65.16517857,35.30803571,84.61904762
127,47.28571429,63.57142857,32,84.28571429
128,47.14285714,63,30.78571429,84.28571429
136,47.28571429,63.57142857,32,84.28571429
138,50.08928571,65.69642857,36.41071429,84.83333333
139,50.68650794,65.37301587,35.86111111,85.66666667
140,45.4047619,60.08154762,26.69315476,86.78571429
160,51.94742063,66.88194444,39.13194444,85.28571429
162,52.57142857,67.71428571,40.71428571,85.28571429
163,52.83035714,67.84821429,40.84821429,85.28571429
180,52.89285714,67.82142857,40.82142857,85.28571429
181,47,62.42857143,29.57142857,85.53571429
182,51.89880952,66.88690476,39.14880952,85.14285714
183,52.76488095,67.79464286,40.79464286,85.28571429
184,52.57142857,67.71428571,40.71428571,85.28571429
186,52.61904762,67.52380952,40.54761905,85.21428571
187,52.71428571,67.14285714,40.21428571,85.07142857
188,49.73809524,64.16666667,36.45238095,84.85714286
191,51.14285714,66,35.21428571,84.85714286
192,47.28571429,63.57142857,32,84.28571429
305,47.63095238,61.97619048,31.22619048,86.85714286
319,41.87946429,55.60267857,22.90178571,86
330,48.81547619,63.33928571,33.48214286,85.92857143
331,37,50.42857143,19,87.85714286
360,42.04464286,55.77678571,24.51785714,86.85714286
380,46.75,61.21428571,31.03571429,87.14285714
381,45,58.71428571,27.42857143,88.57142857
382,42.71428571,56.03571429,26.75,87.28571429
428,31.46984127,45.78253968,13.26507937,91.12698413
461,45.33928571,59.84285714,26.31160714,86.78571429
480,45.73809524,59.54166667,27.43154762,87.35714286
481,55.42857143,66.71428571,40.14285714,87.35714286
482,43.71428571,58.28571429,21.85714286,86.78571429
483,43,57,25.39285714,87.71428571
484,43.5,58.17857143,22.07142857,85.85714286
486,43.875,57.97321429,24.19642857,86.95714286
488,46.36904762,60.98511905,28.5014881,86.55952381
509,29.66904762,46.12573696,9.200113379,89.63690476
512,29.33055556,44.94933862,9.966534392,90.47539683
513,36.14285714,54.85714286,10.85714286,92.28571429
560,30.42857143,46.57142857,11.85714286,87.14285714
561,38.55555556,55.85714286,14.95238095,88
562,32.12380952,47.34761905,12.68809524,90.38095238
563,41.92063492,57.85714286,19.76190476,86.57142857
580,34.23809524,52.85714286,9.428571429,89.19047619
581,40.80952381,56.16666667,22.33333333,88.14285714
582,38.88095238,55.68452381,16.61904762,88.14285714
583,23.28571429,37.71428571,4.571428571,91.08333333
584,27.73809524,44.57142857,6.452380952,89.11309524
586,32.19047619,51.42857143,8.333333333,87.14285714
604,22.82142857,36.51870748,5.664965986,92.97619048
617,31.60071429,47.66704082,10.27377551,89.08571429
642,28.91666667,43.32823129,9.426870748,91.85714286
643,28.6031746,42.8185941,9.616780045,94.14285714
662,33.77285714,49.47693878,12.26183673,90.02857143
665,27.94784392,43.11899849,8.166295351,91.01507937
680,30.17857143,45.27040816,10.1377551,94.14285714
682,16.42857143,29,1,94.14285714
683,29.42857143,45.85714286,8.285714286,88.14285714
684,26.27777778,41.44246032,7.038690476,90.54761905
685,27.11111111,42.76984127,8.964285714,90.47486772
686,21.85714286,35.28571429,5.857142857,91.37301587
687,27.80952381,42.78684807,9.219954649,90.64285714
760,33.53968254,52.12698413,13,88.92857143
761,27.85714286,44.71428571,8.285714286,90.85714286
763,33.85714286,49.42857143,12.85714286,89.42460317
764,32.14285714,48.14285714,9.904761905,89.04761905
765,36.85,52.12380952,15.00873016,88.63252315
767,38.57142857,53.28571429,15.14285714,88.81547619
780,27.47619048,42.04761905,8.047619048,90.85714286
781,33.14285714,49.14285714,8.571428571,88.14285714
821,36.14285714,57,14.71428571,87
834,43.6,62.00952381,20.74285714,90.85714286
840,57.42857143,70.71428571,40.57142857,85
860,36.61904762,54.66666667,16,87
861,42.52380952,62.23809524,21.04761905,87
862,39.51428571,57.17142857,17.37142857,90.85714286
880,46.71428571,66,24,89.41071429
881,37.71534392,56.54179894,16.4031746,88.92857143
882,44.71428571,63.71428571,24.42857143,86.5
883,45.28571429,59.85714286,24.57142857,85
884,36.92380952,53.67619048,16.34285714,88.43174603
885,49.71428571,63.47619048,32.71428571,85
980,48.35164835,64.01098901,32.82417582,85.16666667
1060,44.24285714,59.31428571,24.57619048,87.78571429
1080,44.57142857,62.85714286,20.85714286,90.28527337
1081,44.57142857,62.85714286,20.85714286,89.14153439
1082,50.85714286,67.14285714,26.71428571,87.14285714
1083,51.42857143,65,37.28571429,87.14285714
1214,48.15079365,63.51587302,33.70238095,90.2172619
1230,53.21428571,69.2,39.5,87.78809524
1231,54.14285714,70.14285714,40.57142857,87.71428571
1233,53.4047619,69.14285714,39.07142857,87.71428571
1256,51.28571429,66.42857143,26.85714286,88.76438492
1257,43.49751984,57.93253968,24.76934524,89.31001984
1260,48.1468254,63.25793651,33.85119048,91.57142857
1261,50.00634921,65.75555556,35.81904762,89.19047619
1262,54.14285714,70.14285714,40.57142857,88.08333333
1263,52.21428571,68,38.07142857,87.71428571
1264,51.6,67.75714286,36.56428571,87.9047619
1265,49.35714286,65.92857143,33.75,88.28571429
1266,43.71428571,60.14285714,27.85714286,88.85714286
1267,44.34275794,59.85515873,27.52827381,88.66666667
1270,51.14285714,68,34.71428571,88.71428571
1272,47.2,61.96190476,29.62857143,88
1273,39.14285714,53.42857143,19,88.57886905
1275,42.9958664,57.5542328,24.63938492,88.98511905
1276,46.34722222,61.3015873,30.14880952,89.11309524
1277,48.14325397,62.95793651,33.29761905,90.62321429
1278,48.47619048,61.38095238,34.33333333,89.71428571
1280,54.14285714,70.14285714,40.57142857,87.71428571
1281,51.42857143,67.57142857,37.71428571,87.71428571
1282,48.14285714,63,34,91.57142857
1283,48.14285714,63,34,91.57142857
1284,50.14285714,63.42857143,37.85714286,91.10714286
1285,48.16666667,64.54761905,33.10714286,88.28571429
1286,51.14285714,68,34.71428571,88.44047619
1287,53.85714286,69.28571429,38.57142857,87.77777778
1290,45.92857143,61.57142857,27.02380952,88.85714286
1291,51.14285714,68,34.71428571,88.85714286
1292,49.92857143,63.71428571,34.78571429,90.64285714
1293,39.14285714,53.42857143,19,88.85714286
1315,36.14285714,51.42857143,14.42857143,90.85714286
1380,45.28571429,60.71428571,25.57142857,89.28571429
1381,43.15038029,57.69510582,23.86235119,89.44642857
1382,39.97142857,55.68571429,19.88571429,88.85714286
1383,43.85714286,60.28571429,27,87.44761905
1384,55.71428571,68.28571429,42.57142857,86.14285714
1401,35.71428571,51.85714286,18.14285714,82.85714286
1402,41.10561905,57.85704762,23.23961905,83.93333333
1407,52.57142857,66.57142857,39,84.85714286
1415,39.24603175,56.3015873,20.93121693,91.42857143
1419,44.28571429,59,27.42857143,90
1421,35.74801587,51.08531746,20.10648148,91.17493386
1427,37.96428571,52.46428571,25.32142857,86.89484127
1430,34.42857143,48.71428571,21.28571429,89.6468254
1435,41.5,56.21428571,29.35714286,84.14285714
1438,33.91071429,48.81547619,16.75595238,91.30952381
1439,35.62003968,50.72321429,18.2662037,93.48809524
1440,39.84285714,57.4,20.22857143,88.57142857
1441,38.45971429,55.42828571,19.576,86.08571429
1442,31.75507937,47.80269841,12.24888889,88.76071429
1443,34.31285714,50.17,15.65142857,87.57142857
1444,33.51061111,51.14442063,12.12101587,90.07142857
1445,32.6006746,50.05543651,11.50984127,87.92857143
1446,40.71428571,57.85714286,19.14285714,93.07142857
1447,33.80952381,50.67857143,13.16666667,92.28571429
1452,30.36880952,45.3535034,10.12370748,91.20892857
1460,34.28571429,50.04761905,13.95238095,94.07142857
1461,41.85714286,56.42857143,23.71428571,94.28571429
1462,38.42857143,56.28571429,18.85714286,94.28571429
1463,40.5847619,55.5847619,23.36761905,87.34285714
1465,34.47290476,49.58208844,14.97539456,89.37857143
1466,30.53400794,46.76019841,10.15746032,88.44642857
1470,32.85714286,52.57142857,10.28571429,87.28571429
1471,34.23214286,51.1547619,13.61904762,90.78571429
1472,35.65972222,51.6225907,15.61592971,92.37619048
1473,37.38095238,53.85714286,17.38095238,91.94380952
1480,49.14285714,66.28571429,32,82.85714286
1481,45.28904762,60.50333333,29.02047619,84.8
1482,43.78571429,61.28571429,25.42857143,88.57142857
1484,35.97222222,50.83730159,21.70502646,89.7228836
1485,35.52380952,51.33333333,18.50793651,92.62698413
1486,40,53.57142857,26.14285714,86.57142857
1487,33.71428571,49,15.38095238,94.28571429
1488,34.57142857,51.71428571,13,90.61904762
1489,33.28571429,51.42857143,11.85714286,88.57142857
1490,27.66666667,41.80952381,9.238095238,91.28571429
1491,29.85714286,44.85714286,8.857142857,90.70446429
1492,37.23809524,53.3015873,17.79365079,93.52380952
1493,39,56,19.85714286,91.53571429
