kommun,tmean,tmax,tmin,humidity
114,53.49404762,70.50595238,35.2744709,94.01468254
115,50.77380952,66.64285714,33.17857143,92.61081349
117,54.50634921,72.24642857,35.99107143,93.57573413
120,56.57142857,76.78571429,35.85714286,94.5
123,57.71428571,75.71428571,38.42857143,95.57142857
125,55.57142857,74.71428571,33,90.28571429
126,54.60714286,76.38392857,32.67410714,93.57142857
127,52.57142857,77,28,92.57142857
128,53.35714286,75.64285714,30.07142857,92.57142857
136,52.57142857,77,28,92.57142857
138,55.28571429,76.17857143,34.23214286,94.1875
139,50.26587302,67.46428571,31.18253968,92.93055556
140,50.57886905,72.2547619,27.60089286,92.64285714
160,55.63888889,72.66071429,38.49107143,95.57142857
162,58.14285714,75.71428571,41.71428571,95.57142857
163,58,75.625,40.58035714,95.57142857
180,58,75.35714286,40.46428571,95.57142857
181,54.14285714,74.28571429,32.14285714,92.60714286
182,56.61904762,76.10714286,36.85119048,95.03571429
183,58.04761905,75.56547619,40.91964286,95.57142857
184,58.14285714,75.71428571,41.71428571,95.57142857
186,57.61904762,76.07142857,39.76190476,95.30357143
187,56.57142857,76.78571429,35.85714286,94.76785714
188,52.97619048,68.35714286,36.57142857,90.42857143
191,48.57142857,64.92857143,29.78571429,90.42857143
192,52.57142857,77,28,92.57142857
305,44.51190476,61.75,25.33333333,92.79166667
319,34.25892857,58.34375,11.6875,92.80580357
330,47.14880952,63.58928571,28.97619048,91.80952381
331,32,55.42857143,6.428571429,94.42857143
360,35.80357143,57.54464286,14.23214286,93.75446429
380,42.53571429,59.32142857,24.21428571,93.58928571
381,42.42857143,61,22,94.35714286
382,35.96428571,56.28571429,17.14285714,95.14285714
428,44.66984127,68.4015873,23.40634921,94.54761905
461,51.42410714,74.60357143,27.35625,92.64285714
480,55.1577381,80.57142857,30.08035714,93.01785714
481,62.71428571,87,36.57142857,93.01785714
482,47,72.85714286,20.14285714,92.64285714
483,54.32142857,83.07142857,30.96428571,93
484,49.67857143,72.64285714,23.78571429,92.28571429
486,46.16964286,67.875,23.30357143,92.91428571
488,54.65029762,77.42857143,31.11160714,92.75595238
509,49.73650794,70.61337868,27.01836735,93.921875
512,50.63121693,70.03915344,27.30238095,94.70119048
