kommun,tmean,tmax,tmin,humidity
114,28.30820106,41.78306878,10.86309524,89.90912698
115,26.25,39.73809524,8.630952381,89.5844246
117,30.05952381,43.10694444,13.04980159,89.00974206
120,32.85714286,45.85714286,15.78571429,87.85714286
123,31.85714286,44.14285714,14.28571429,90
125,30.71428571,43.85714286,13,86.85714286
126,28.67857143,42.72767857,8.03125,88.57142857
127,26.85714286,41.85714286,3.571428571,87.85714286
128,27.42857143,41.78571429,7.571428571,87.85714286
136,26.85714286,41.85714286,3.571428571,87.85714286
138,29.28571429,43.01785714,9.517857143,88.83928571
139,26.01587302,40.41666667,7.896825397,90.33134921
140,26.42142857,41.91190476,9.581845238,90.92857143
160,29.9047619,43.17757937,13.35615079,90
162,31.71428571,45.14285714,16,90
163,31.75,44.65178571,15.4375,90
180,31.71428571,44.17857143,15.46428571,90
181,28,41.71428571,11.57142857,89.39285714
182,31.28571429,44.35119048,13.58928571,88.92857143
183,31.72619048,44.6577381,15.63392857,90
184,31.71428571,45.14285714,16,90
186,32.0952381,45.38095238,15.92857143,89.46428571
187,32.85714286,45.85714286,15.78571429,88.39285714
188,28.42857143,40.9047619,11.69047619,89.21428571
191,24.07142857,38.57142857,5.571428571,89.21428571
192,26.85714286,41.85714286,3.571428571,87.85714286
305,22.11904762,38.53571429,3.833333333,91.7797619
319,16.75446429,31.62053571,3.316964286,92.15848214
330,23.9047619,38.86904762,6.18452381,90.72619048
331,15.57142857,29.57142857,-0.714285714,93
360,17.65178571,32.95535714,2.205357143,93.03125
380,21,37.46428571,3.642857143,92.69642857
381,21.28571429,39.57142857,2.285714286,93.42857143
382,18.17857143,34.5,1.464285714,95.14285714
428,19.92539683,34.12222222,6.834920635,94.26984127
461,27.175,42.48571429,11.19196429,90.92857143
480,30.33333333,45.16666667,16.60416667,91.17857143
481,40,53.71428571,28.71428571,91.17857143
482,24.28571429,40.57142857,7.714285714,90.92857143
483,26.92857143,42.21428571,13.67857143,91
484,27.07142857,44.42857143,8.357142857,90.85714286
486,24.08928571,41.53571429,5.982142857,91.41428571
488,29.16666667,43.44047619,14.08779762,90.5
509,23.95873016,38.23253968,9.561564626,93.12083333
512,23.80449735,37.29378307,8.350396825,94.66230159
513,30.42857143,43.42857143,15.28571429,97.42857143
560,21.57142857,36,7.571428571,91.28571429
561,31.58730159,44.65079365,16.76190476,93.41071429
562,22.27619048,36.43809524,8.969047619,93.66666667
563,34.00793651,46.68253968,18.52380952,92.07142857
580,27.9047619,41.80952381,14.71428571,93.52380952
581,30.11904762,44.16666667,16.30952381,91.85714286
582,30.9047619,44.32738095,16.57738095,91.85714286
583,15.85714286,30.28571429,2.285714286,93.7797619
584,21.21428571,35.5952381,7.714285714,92.5327381
586,26.57142857,40.9047619,13.14285714,91.28571429
604,19.73809524,33.27380952,3.933673469,95.69047619
617,33.28714286,48.32214286,16.14295918,91.61428571
642,27.64285714,42.60714286,11.64795918,93.61904762
643,26.52380952,41.0952381,11.05442177,96.57142857
662,35.14571429,49.35857143,17.7144898,92.51428571
665,28.07726852,42.58997354,11.49102797,93.45595238
680,27.5,41.67857143,11.65816327,96.57142857
682,14.85714286,28.57142857,-0.857142857,96.57142857
683,31.42857143,47.28571429,14.57142857,90.71428571
684,26.24503968,40.3234127,9.716269841,92.75
685,24.26587302,37.1984127,7.722222222,93.93320106
686,16.85714286,29.57142857,1,95.27777778
687,22.93650794,36.98412698,7.721088435,93.92857143
760,32.44444444,44.6984127,15.50793651,93
761,29.85714286,40.71428571,14.28571429,92.42857143
763,36.85714286,48.42857143,20.85714286,92.07142857
764,34.42857143,48.23809524,17.42857143,91.28571429
765,38.73730159,52.16031746,22.34603175,91.72354497
767,39.71428571,55.57142857,23.85714286,91.73015873
780,30.23809524,43.0952381,13.47619048,92.42857143
781,35,49,16.85714286,90.71428571
821,34.57142857,47.42857143,17,93.57142857
834,44.6,57.12380952,28.25714286,92.42857143
840,56,65.71428571,43.28571429,89.71428571
860,32.9047619,45.95238095,15.23809524,93.57142857
861,40.38095238,53.52380952,23.47619048,93.57142857
862,41.08571429,53.37142857,24.62857143,92.42857143
880,46.71428571,58.28571429,32.28571429,92.85714286
881,37.50899471,49.67037037,21.1973545,93
882,39.85714286,54.85714286,21.14285714,93.25
883,36.42857143,48.71428571,20.28571429,92.28571429
884,31.2952381,44.5047619,14.59047619,94.36269841
885,47.0952381,56.76190476,35.47619048,89.71428571
980,44.05494505,54.8021978,29.24175824,89.57142857
1060,45.56666667,57.86666667,30.36190476,92.14285714
1080,46,59.71428571,27.85714286,92.30952381
1081,46,59.71428571,27.85714286,92.07142857
1082,50.14285714,64.14285714,34.28571429,91.71428571
1083,51.42857143,61.14285714,39.57142857,91.71428571
1214,55,68.24206349,38.07142857,92.17261905
1230,59.02857143,72,44.05714286,90.76071429
1231,60.57142857,73.28571429,45.28571429,90.71428571
1233,58.23809524,70.52380952,43.52380952,90.71428571
1256,49.42857143,65.14285714,33.28571429,92.7037037
1257,47.03125,60.96676587,30.51339286,92.20998677
1260,55.42857143,68.62103175,38.10714286,92.42857143
1261,56.22857143,69.65079365,40.25714286,91.64285714
1262,60.57142857,73.28571429,45.28571429,90.94642857
1263,57,69.14285714,42.57142857,90.71428571
1264,56.02857143,68.86428571,40.9,91.07142857
1265,54.14285714,67.17857143,38.35714286,91.78571429
1266,49.28571429,62,33.57142857,92.85714286
1267,48.69196429,61.80902778,32.76339286,92.5
1270,55.42857143,67.85714286,39,92.58928571
1272,48.51428571,60.25714286,34.1047619,92.28571429
1273,40.85714286,53.85714286,24.71428571,92.3968254
