kommun,tmean,tmax,tmin,humidity
114,53.16468254,73.38095238,32.68650794,90.15515873
115,54.14285714,71.85714286,35.96428571,89.71736111
117,55.1875,72.31607143,37.45833333,88.54918651
120,54.85714286,72.64285714,35.71428571,86.2
123,53.14285714,73.85714286,31,90.42857143
125,51.71428571,73.57142857,30,87.28571429
126,48.87946429,71.50446429,24.38392857,89.95238095
127,45.57142857,69.85714286,18.14285714,89.71428571
128,47.64285714,69.85714286,23.71428571,89.71428571
136,45.57142857,69.85714286,18.14285714,89.71428571
138,49.98214286,72.05357143,26.46428571,89.60238095
139,50.5952381,72.53571429,28.0952381,90.34722222
140,46.34583333,70.00208333,24.95416667,91.5
160,55.00892857,74.00892857,36.68452381,90.42857143
162,56,75.42857143,38.42857143,90.42857143
163,54.88392857,74.74107143,35.66071429,90.42857143
180,54.39285714,74.25,34.78571429,90.42857143
181,49.71428571,69.85714286,29.28571429,90.60714286
182,53.07738095,72.98214286,32.32142857,88.31428571
183,55.0922619,74.80654762,36.29166667,90.42857143
184,56,75.42857143,38.42857143,90.42857143
186,55.61904762,74.5,37.52380952,89.37142857
187,54.85714286,72.64285714,35.71428571,87.25714286
188,57.07142857,70.42857143,43.21428571,89.14285714
191,51.21428571,73.28571429,28.71428571,89.14285714
192,45.57142857,69.85714286,18.14285714,89.71428571
305,47.42857143,70.46428571,24.57142857,91.4702381
319,42.36160714,64.90625,19.23214286,90.73883929
330,51.125,71.07142857,30.91071429,90.48809524
331,38.85714286,64.71428571,12.14285714,93.57142857
360,44.15178571,66.52678571,20.89285714,92.04910714
380,48.78571429,70.10714286,27.14285714,92.19642857
381,42.28571429,68,17.85714286,93.07142857
382,48.39285714,68,26.71428571,93
428,40.63809524,66.12539683,18.21587302,93.17460317
461,46.01964286,70.42589286,24.47857143,91.5
480,47.10119048,72.0327381,25.00595238,91.75
481,52.28571429,72.57142857,34.14285714,91.75
482,41.57142857,69.57142857,19.85714286,91.5
483,47.21428571,74.89285714,22.07142857,92.28571429
484,45.21428571,72.46428571,22.10714286,90.71428571
486,43.30357143,69.72321429,21.09821429,91.65714286
488,48.4077381,70.94494048,27.14583333,91.28571429
509,38.80793651,65.21882086,18.1292517,93.03958333
512,35.87566138,64.6026455,13.28253968,93.76309524
513,31.71428571,71.28571429,-2.428571429,96.71428571
560,38.57142857,63.85714286,20.28571429,91.71428571
561,38.84126984,72.47619048,11.19047619,92.05357143
562,40.55714286,66.0547619,18.29047619,92.80952381
563,41.84920635,74.88095238,15.16666667,90.5
580,39.95238095,68.85714286,16.85714286,93.38095238
581,47.33333333,71.0952381,23.95238095,91.71428571
582,41.99404762,71.82738095,16.79166667,91.71428571
583,34.14285714,58,14.28571429,93.39583333
584,37.35714286,63.45238095,17.0952381,92.55505952
586,40.57142857,68.9047619,19.9047619,91.71428571
604,34.61904762,59.17006803,15.06122449,94.92857143
617,32.45714286,68.08816327,2.635510204,93.01190476
642,35.71428571,65.31292517,11.20408163,94.28571429
643,35.38095238,64.5600907,11.74829932,95.57142857
662,36.91428571,71.31918367,8.699591837,93.88095238
665,33.14391534,64.32637094,7.093407029,93.91071429
680,39.85714286,66.65306122,16.18367347,95.57142857
682,29.85714286,53,11.57142857,95.57142857
683,28,64.85714286,-3.428571429,92.14285714
684,31.77777778,62.0406746,6.898809524,93.28571429
685,35.20634921,63.54365079,12.64285714,92.8968254
686,34.14285714,57.85714286,17.42857143,93.5952381
687,37.68253968,63.22675737,17.17687075,93.64285714
760,39.20634921,70.50793651,12.14285714,91.64285714
761,37.42857143,64.57142857,12.28571429,93
763,40.57142857,64.28571429,21.28571429,92.18154762
764,34.04761905,66.76190476,6.80952381,92.42857143
765,40.63333333,73.6531746,14.76111111,91.69042108
767,40.71428571,82.71428571,11,91.6223545
780,37.23809524,58.52380952,17.23809524,93
781,33.57142857,71.14285714,2.571428571,92.14285714
821,42.57142857,74.14285714,14.71428571,90.28571429
834,45.06666667,77.81904762,18.56190476,93
840,61.42857143,76.57142857,41.71428571,88.85714286
860,37.61904762,72.80952381,9.428571429,90.28571429
861,44.28571429,79.52380952,15.71428571,90.28571429
862,43.2,73.31428571,18.54285714,93
880,46,82.57142857,15.14285714,91.98214286
881,42.11534392,74.10529101,14.75714286,91.64285714
882,44.28571429,81.85714286,17.28571429,90.03571429
883,44.85714286,77.28571429,19.14285714,89.28571429
884,38.52380952,72.21904762,12.17142857,91.98333333
885,54.76190476,77.52380952,33.28571429,88.85714286
980,61.08791209,73.76923077,47.95604396,88.42857143
1060,49.60952381,78.15714286,27.61428571,90.80357143
1080,46,77.57142857,22,92.67096561
1081,46,77.57142857,22,92.01289683
1082,51,86.71428571,25,90.85714286
1083,58.85714286,77.71428571,45.14285714,90.85714286
1214,62.47619048,91.62698413,36.59126984,91.09325397
1230,66.41428571,95.32857143,40.17142857,88.925
1231,67.57142857,95.57142857,41.14285714,88.85714286
1233,65.5,92.30952381,41.9047619,88.85714286
1256,44.42857143,81.42857143,14,90.79739859
1257,49.47172619,85.79513889,20.77728175,91.14605379
1260,62.88095238,91.52777778,37.15277778,92
1261,63.95238095,93.93015873,37.61587302,90.21428571
1262,67.57142857,95.57142857,41.14285714,89.19642857
1263,63.78571429,90.92857143,39.14285714,88.85714286
1264,63.44285714,91.31428571,40.49285714,89.16666667
1265,61.14285714,89.78571429,37.46428571,89.78571429
1266,55.85714286,87.28571429,27.28571429,90.71428571
1267,54.52529762,86.74751984,27.38144841,90.4047619
1270,61.57142857,86.42857143,42.14285714,90.48214286
1272,53.6,79.6952381,33.37142857,90.78571429
1273,45.28571429,78.85714286,19.28571429,90.96362434
1275,50.28621032,84.49189815,22.89070767,90.63690476
1276,56.10119048,88.8234127,28.60912698,90.55952381
1277,60.10595238,91.23849206,32.85634921,91.39722222
1278,61.66666667,86.47619048,41.14285714,90.66666667
1280,67.57142857,95.57142857,41.14285714,88.85714286
1281,65.57142857,99,38.28571429,88.85714286
1282,63.28571429,91.42857143,37.71428571,92
1283,63.28571429,91.42857143,37.71428571,92
1284,61.85714286,91.14285714,37.71428571,91.66666667
1285,60.85714286,92.02380952,34.3452381,89.78571429
1286,61.57142857,86.42857143,42.14285714,90.03720238
1287,65.14285714,90.42857143,45.42857143,88.96031746
1290,52.33333333,83.21428571,27.35714286,90.71428571
1291,61.57142857,86.42857143,42.14285714,90.71428571
1292,55.78571429,92.78571429,24.21428571,91.33333333
1293,45.28571429,78.85714286,19.28571429,90.71428571
1315,40.14285714,73.28571429,14.85714286,95.83333333
1380,46.28571429,82.14285714,19,93.8968254
1381,47.91592262,83.50950728,19.78430886,92.00992063
1382,43,80.65714286,13.31428571,93.71428571
1383,48,79.28571429,17.28571429,90.07619048
1384,68.42857143,84.28571429,54.85714286,86.28571429
1401,46,75.42857143,23.57142857,87.14285714
1402,48.49095238,79.42647619,24.12866667,87.73333333
1407,65.71428571,81.14285714,52.71428571,85.28571429
1415,44.84656085,81.94444444,15.77513228,91.42857143
1419,48.14285714,82.14285714,20.42857143,90.71428571
1421,40.43716931,73.01984127,14.22883598,90.62550705
1427,43.46428571,69.78571429,21.92857143,86.18716931
1430,36.42857143,65.85714286,12.14285714,89.51719577
1435,50.5,73.71428571,31.71428571,82.85714286
1438,36.24404762,66.4047619,10.58333333,92.29365079
1439,40.00363757,72.8452381,12.75066138,93.40079365
1440,44.4,81.67142857,15.81428571,90
1441,44.18714286,77.85085714,18.386,88.91428571
1442,36.28968254,70.67047619,10.61,91.37142857
1443,40.53571429,72.86857143,15.83,90.28571429
1444,39.69400794,75.00971429,12.71764286,91.92857143
1445,36.94623016,72.95333333,10.15964286,90.85714286
1446,45,70.42857143,22.57142857,95.07142857
1447,41.5952381,70.28571429,18.54761905,95.42857143
1452,36.77619048,67.60020408,11.0422449,94.01279762
1460,34.9047619,69.47619048,5.619047619,95.5952381
