kommun,tmean,tmax,tmin,humidity
114,62.61838624,81.49867725,43.65939153,92.3047619
115,60.73809524,78.22619048,43.17857143,92.71904762
117,60.78253968,78.22638889,43.04583333,92.85809524
120,59.92857143,77.71428571,41,93.42857143
123,63.71428571,82.14285714,43.85714286,91.71428571
125,61.85714286,81.57142857,41.57142857,87.57142857
126,58.48214286,79.04017857,34.54910714,90.95238095
127,55,76.85714286,28,90.57142857
128,54.28571429,76.71428571,29.64285714,90.57142857
136,55,76.85714286,28,90.57142857
138,59.64285714,79.76785714,36.73214286,91.45238095
139,61.77380952,80.89285714,42.32539683,92.95238095
140,55.97261905,78.91577381,33.21369048,92.01428571
160,63.41269841,82.45337302,45.26488095,91.71428571
162,65,85.28571429,46.85714286,91.71428571
163,64.5,83.84821429,45.75892857,91.71428571
180,64.28571429,82.67857143,45.46428571,91.71428571
181,53.57142857,76.57142857,31.28571429,91.29285714
182,61.28571429,80.05357143,41.06547619,92.57142857
183,64.5952381,83.9375,46.02678571,91.71428571
184,65,85.28571429,46.85714286,91.71428571
186,63.30952381,82.76190476,44.9047619,92.14285714
187,59.92857143,77.71428571,41,93
188,59.9047619,75.02380952,44.78571429,93.42857143
191,61.57142857,81.42857143,41.57142857,93.42857143
192,55,76.85714286,28,90.57142857
305,60.03571429,79.10714286,41.54761905,93.71428571
319,55.10714286,75.40178571,37.23214286,92.23214286
330,60.22619048,78.18452381,42.63690476,93.64285714
331,55.28571429,75.71428571,36,93.85714286
360,56.07142857,75.80357143,38.17857143,93.46428571
380,59.39285714,77.17857143,42.64285714,94
381,59.14285714,78.71428571,40.42857143,93.71428571
382,55.46428571,75.32142857,37.78571429,95
428,52.76349206,75.48888889,30.61904762,94.84126984
461,55.90892857,79.77410714,32.3375,92.01428571
480,57.83333333,81.83630952,34.39880952,92.36428571
481,62,79.71428571,44.28571429,92.36428571
482,54,80.85714286,27.14285714,92.01428571
483,54.5,81.60714286,28.78571429,92.42857143
484,59.46428571,83.32142857,33.35714286,91.6
486,58.4375,80.40178571,36.01785714,92.27142857
488,55.70238095,79.20386905,32.8422619,91.89047619
509,59.72063492,77.40306122,40.91530612,92.20074405
512,58.45767196,77.36230159,36.96388889,93.13968254
513,61.28571429,87.28571429,23.42857143,96.28571429
560,60.85714286,79.42857143,42.42857143,89.57142857
561,60.63492063,86.07936508,25.44444444,92.26785714
562,55.64761905,77.57380952,33.5,94.38095238
563,60.81746032,87.18253968,23.93650794,90.92857143
580,59.61904762,82.66666667,30.47619048,92.95238095
581,60.83333333,85.16666667,37.38095238,93
